Code prdt,DESIGNATION,Classe,Date,month,year,vente,stock,Total,cg,ipp,pfc,cde,hedelix,respi,gastro,otc,mb,vip,P_valeur,feature,vente_lag1,vente_lag2,stock_lag1,stock_lag2,total_lag1,total_lag2,feature_lag1,feature_lag2,vente_roll3,stock_roll3,total_roll3,feature_roll3,month_sin,month_cos,vente_trend,vente_season,stock_trend,stock_season,Total_trend,Total_season,feature_trend,feature_season,cluster_label
PF036,"Dermosalic 0,05% pomade dermique tube 30GR",A0,2023-01-01,1,2023,40979.0,34739.0,50729.0,1,1,0,1,0,0,0,0,0,0,0.087291744,61578.596644495,40979.0,7108.312157721796,34739.0,34739.0,7481.279541905257,7479.654983570646,61578.596644495,2876.072092191,40979.0,34739.0,50729.0,61578.596644495,0.49999999999999994,0.8660254037844387,58269.43611111117,-17290.436111111165,61607.84375,-26868.84375000002,70853.55316614281,-20124.55316614284,67774.27730989766,-6195.680665402694,0
PF037,"Dermosalic 0,05% lotion flacon 30GR",A0,2023-01-01,1,2023,11358.0,10214.0,18857.0,1,1,0,1,0,0,0,0,0,0,0.360531278,25808.418909908,11358.0,7108.312157721796,10214.0,10214.0,7481.279541905257,7479.654983570646,25808.418909908,2876.072092191,11358.0,10214.0,18857.0,25808.418909908,0.49999999999999994,0.8660254037844387,13975.734126989051,-2617.7341269890467,14068.861068248432,-3854.8610682484314,18185.5672123065,671.4327876934972,20844.510282680574,12420.35252068909,0
PF049,"Glyss 0,77G suppositoire nourrisson boite de 10",B,2023-01-01,1,2023,12408.0,15846.0,23616.0,1,1,0,1,0,0,0,0,0,0,0.068225186,33777.764040384,12408.0,7108.312157721796,15846.0,15846.0,7481.279541905257,7479.654983570646,33777.764040384,2876.072092191,12408.0,15846.0,23616.0,33777.764040384,0.49999999999999994,0.8660254037844387,24390.653507929743,5504.902000991222,62845.33927139121,4651.0662801370445,24636.01832978858,-7453.4751408007105,21438.61612346057,-6790.28024879952,1
PF066,Diclopal 100MG suppositoire boite de 10,NC,2023-01-01,1,2023,5838.0,8372.0,8248.0,1,1,0,1,0,0,0,0,0,0,0.330101672,10730.402110624,5838.0,7108.312157721796,8372.0,8372.0,7481.279541905257,7479.654983570646,10730.402110624,2876.072092191,5838.0,8372.0,8248.0,10730.402110624,0.49999999999999994,0.8660254037844387,7833.85062015196,2507.079165885679,4935.555555577262,3436.4444444227347,11060.620370370374,-2812.6203703703763,11306.22915886179,6164.910800389701,1
PF076,Aciclovir 5% crème dermique tube 5 GR,A+,2023-01-01,1,2023,12372.0,10065.0,17934.0,1,1,0,1,0,0,0,0,0,0,0.008851811,28662.964423968,12372.0,7108.312157721796,10065.0,10065.0,7481.279541905257,7479.654983570646,28662.964423968,2876.072092191,12372.0,10065.0,17934.0,28662.964423968,0.49999999999999994,0.8660254037844387,9854.09776008241,7174.271167506737,12062.875000093763,-3972.8749998902445,13687.855192316776,4246.144807683214,13525.017511704034,15137.946912263962,1
PF090,Aciclovir 8% suspension buvable flacon 125ML,B,2023-01-01,1,2023,321.0,1114.0,519.0,1,1,0,1,0,0,0,0,0,0,0.192227015,641.5315570079999,321.0,7108.312157721796,1114.0,1114.0,7481.279541905257,7479.654983570646,641.5315570079999,2876.072092191,321.0,1114.0,519.0,641.5315570079999,0.49999999999999994,0.8660254037844387,614.6145833713481,-293.614583371348,1487.4340278925897,-373.43402789259017,575.7557873891398,-56.75578738913963,511.601420899378,129.930136108622,1
PF097,Afusidic 2% crème dermique tube 15GR,A0,2023-01-01,1,2023,9268.0,22707.0,10000.0,1,1,0,1,0,0,0,0,0,0,0.137426862,6988.410309999999,9268.0,7108.312157721796,22707.0,22707.0,7481.279541905257,7479.654983570646,6988.410309999999,2876.072092191,9268.0,22707.0,10000.0,6988.410309999999,0.49999999999999994,0.8660254037844387,20408.778472222217,-4798.07847222222,15012.0040599756,7694.995940024402,23516.997916666653,-13516.997916666647,16244.522451899598,-9256.112141899594,1
PF098,"Moment 200 gouttes buvables flacon 12,5ML",NC,2023-01-01,1,2023,4595.0,5845.0,8550.0,1,1,0,1,0,0,0,0,0,0,0.171788393,13048.86204225,4595.0,7108.312157721796,5845.0,5845.0,7481.279541905257,7479.654983570646,13048.86204225,2876.072092191,4595.0,5845.0,8550.0,13048.86204225,0.49999999999999994,0.8660254037844387,5663.245905188472,-670.7882292002523,6911.670634924773,-1066.670634924776,8095.8645989019815,-1821.153299720497,8072.3951929531595,-2160.380910707884,1
PF109,Relaxil 4MG,B,2023-01-01,1,2023,1331.0,2010.0,1160.0,1,1,0,1,0,0,0,0,0,0,0.412399179,2087.2661550000003,1331.0,7108.312157721796,2010.0,2010.0,7481.279541905257,7479.654983570646,2087.2661550000003,2876.072092191,1331.0,2010.0,1160.0,2087.2661550000003,0.49999999999999994,0.8660254037844387,1473.4359201847676,-249.72106247791766,3823.6333641691317,-472.7171314038455,1062.1947082706645,-271.3370226852982,744.6496829111283,-217.09385092994248,0
PF110,Tallis 1% crème dermique tube 15GR,C,2023-01-01,1,2023,878.0,1762.0,800.0,1,1,0,1,0,0,0,0,0,0,0.06267665,976.0,878.0,7108.312157721796,1762.0,1762.0,7481.279541905257,7479.654983570646,976.0,2876.072092191,878.0,1762.0,800.0,976.0,0.49999999999999994,0.8660254037844387,1339.0914351851845,-461.09143518518476,3763.2380757565243,-2001.2380757565275,1851.7975823045276,-1051.7975823045283,1689.3451488998683,-713.3451488998691,1
PF118,"Pradis 0,1% solution buvable flacon 200 ML",B,2023-01-01,1,2023,2333.0,3925.0,3528.0,1,1,0,1,0,0,0,0,0,0,0.257555938,3087.0,2333.0,7108.312157721796,3925.0,3925.0,7481.279541905257,7479.654983570646,3087.0,2876.072092191,2333.0,3925.0,3528.0,3087.0,0.49999999999999994,0.8660254037844387,2236.179215847086,96.82078415291382,2315.4390736879495,1609.5609263120487,311.1365761395864,-72.88525102767817,983.5274694786515,-171.05262733614902,0
PF119,Pradis 10MG suppositoire boite de 10,NC,2023-01-01,1,2023,1739.0,3660.0,1836.0,1,1,0,1,0,0,0,0,0,0,0.779211485,2388.406237452,1739.0,7108.312157721796,3660.0,3660.0,7481.279541905257,7479.654983570646,2388.406237452,2876.072092191,1739.0,3660.0,1836.0,2388.406237452,0.49999999999999994,0.8660254037844387,3897.2935136496785,-2158.29351364968,5962.439485428571,-909.8680543243148,2629.186776113639,-658.1886048791835,2274.3595883240505,-82.32898054880138,0
PF120,Axen 100 MG suppositoire boite de 10,A-,2023-01-01,1,2023,15965.0,15756.0,26792.0,1,1,0,1,0,0,0,0,0,0,0.502098728,39093.97828516,15965.0,7108.312157721796,15756.0,15756.0,7481.279541905257,7479.654983570646,39093.97828516,2876.072092191,15965.0,15756.0,26792.0,39093.97828516,0.49999999999999994,0.8660254037844387,19227.149305555544,-3262.1493055555497,26034.20436517717,-10278.20436514602,25935.186257173165,3773.670163485624,28634.227146165977,10459.75113899402,0
PF130,Aciclovir Opalia 200MG comprimé boite de 30,C,2023-01-01,1,2023,378.0,946.0,372.0,1,1,0,1,0,0,0,0,0,0,0.613787704,592.29185652,378.0,7108.312157721796,946.0,946.0,7481.279541905257,7479.654983570646,592.29185652,2876.072092191,378.0,946.0,372.0,592.29185652,0.49999999999999994,0.8660254037844387,493.8802083333331,-115.88020833333296,914.0416666666669,31.958333333333204,508.4519091506015,-363.56676541601234,669.0705068714075,-76.7786503514077,0
PF132,Tallis spray 1% flacon 15 ML,NC,2023-01-01,1,2023,306.0,956.0,500.0,1,1,0,1,0,0,0,0,0,0,0.568704124,876.1682245,306.0,7108.312157721796,956.0,956.0,7481.279541905257,7479.654983570646,876.1682245,2876.072092191,306.0,956.0,500.0,876.1682245,0.49999999999999994,0.8660254037844387,670.9583333333331,-364.9583333333335,1385.3111111111114,-429.3111111111113,594.7784939764358,-94.77880302160554,728.8719780182091,147.29624648179035,0
PF135,Fer Plus solution buvable flacon 250ML,A+,2023-01-01,1,2023,6426.0,9333.0,11334.0,1,1,0,1,0,0,0,0,0,0,0.012466042,15513.555376404,6426.0,7108.312157721796,9333.0,9333.0,7481.279541905257,7479.654983570646,15513.555376404,2876.072092191,6426.0,9333.0,11334.0,15513.555376404,0.49999999999999994,0.8660254037844387,11087.604166666664,-4661.604166666662,11887.098122427977,-2554.0981224279776,13339.507899294858,-2133.0510923794204,14738.117070301068,775.4383061029392,0
PF136,Fluderm 0.005% pomade dermique tube 30G,NC,2023-01-01,1,2023,2496.0,3354.0,2894.0,1,1,0,1,0,0,0,0,0,0,0.131928892,4007.718578976,2496.0,7108.312157721796,3354.0,3354.0,7481.279541905257,7479.654983570646,4007.718578976,2876.072092191,2496.0,3354.0,2894.0,4007.718578976,0.49999999999999994,0.8660254037844387,3500.779513888891,-1004.7795138888923,5062.192708333339,-1708.1927083333414,3997.02084076619,-1601.02081935955,3959.684196902915,-1497.5505611190104,0
PF137,Cortinase 64MCG spray nasal flacon 120 dose,A+,2023-01-01,1,2023,4429.0,3254.0,7002.0,1,1,0,1,0,0,0,0,0,0,0.045168261,10629.310590432,4429.0,7108.312157721796,3254.0,3254.0,7481.279541905257,7479.654983570646,10629.310590432,2876.072092191,4429.0,3254.0,7002.0,10629.310590432,0.49999999999999994,0.8660254037844387,4378.7312499999925,50.268750000006044,4997.335605488887,-1743.3356054888845,4673.291666666671,2328.708333333331,4971.773020307562,2744.215450530778,0
PF142,Rinosal 50MCG spray nasal 120 doses,A0,2023-01-01,1,2023,8021.0,9594.0,11302.0,1,1,0,1,0,0,0,0,0,0,0.050646489,13571.672352934002,8021.0,7108.312157721796,9594.0,9594.0,7481.279541905257,7479.654983570646,13571.672352934002,2876.072092191,8021.0,9594.0,11302.0,13571.672352934002,0.49999999999999994,0.8660254037844387,9904.849305555548,-1883.8493055555482,10501.480180722296,-904.9845523418543,15260.275347222208,-3958.275347222221,18954.192576950194,-5382.520224016192,0
PF143,Domper suspension buvable flacon 200 ML,NC,2023-01-01,1,2023,2420.0,5526.0,3803.0,1,1,0,1,0,0,0,0,0,0,0.113364591,6882.723037512,2420.0,7108.312157721796,5526.0,5526.0,7481.279541905257,7479.654983570646,6882.723037512,2876.072092191,2420.0,5526.0,3803.0,6882.723037512,0.49999999999999994,0.8660254037844387,2553.3711355735886,-133.371135573589,3764.5324155803023,1761.467584405235,3093.11479427291,709.8852057270881,4063.990992879846,802.8222302968018,1
PF148,Domper comprimé 10 MG boite de 40,NC,2023-01-01,1,2023,3756.0,7144.0,7374.0,1,1,0,1,0,0,0,0,0,0,0.056522777,16331.718065196,3756.0,7108.312157721796,7144.0,7144.0,7481.279541905257,7479.654983570646,16331.718065196,2876.072092191,3756.0,7144.0,7374.0,16331.718065196,0.49999999999999994,0.8660254037844387,5640.493055555559,-1884.4930555555568,8342.370247950099,-1198.3702479501055,7570.546865231265,-196.54686523126722,9705.427811979356,6626.290253216651,0
PF149,Afusidic 250 MG comprimé pelliculé boite de 10,A0,2023-01-01,1,2023,1985.0,9383.0,1560.0,1,1,0,1,0,0,0,0,0,0,0.133148919,1060.52556324,1985.0,7108.312157721796,9383.0,9383.0,7481.279541905257,7479.654983570646,1060.52556324,2876.072092191,1985.0,9383.0,1560.0,1060.52556324,0.49999999999999994,0.8660254037844387,4352.828992438682,-941.4539939970875,6267.945793194825,5068.678091206265,4539.590277777773,-2979.590277777774,5270.818836408927,-4210.293273168927,1
PF151,Prilia crème dermique tube 30,A0,2023-01-01,1,2023,5355.0,5471.0,8350.0,1,1,0,1,0,0,0,0,0,0,0.006759773,15749.08472385,5355.0,7108.312157721796,5471.0,5471.0,7481.279541905257,7479.654983570646,15749.08472385,2876.072092191,5355.0,5471.0,8350.0,15749.08472385,0.49999999999999994,0.8660254037844387,7396.102195267136,-2041.083666299183,14589.590277777748,-9118.590277777768,11751.662873586294,-1531.0402188407136,11684.066761754259,4065.017962095734,0
PF157,Ippsium 20 MG gélule boite de 14,NC,2023-01-01,1,2023,2270.0,3190.0,2540.0,1,1,0,1,0,0,0,0,0,0,0.382640863,3871.58077854,2270.0,7108.312157721796,3190.0,3190.0,7481.279541905257,7479.654983570646,3871.58077854,2876.072092191,2270.0,3190.0,2540.0,3871.58077854,0.49999999999999994,0.8660254037844387,3032.7777777777833,-762.7777777777806,3857.0354939024296,-667.0354939024301,3083.6666666666665,-543.6666666666657,3252.1964361360806,619.3843424039192,1
PF158,Ippsium 20 MG gélule boite de 28,NC,2023-01-01,1,2023,1312.0,1757.0,1965.0,1,1,0,1,0,0,0,0,0,0,0.044810491,2947.5,1312.0,7108.312157721796,1757.0,1757.0,7481.279541905257,7479.654983570646,2947.5,2876.072092191,1312.0,1757.0,1965.0,2947.5,0.49999999999999994,0.8660254037844387,1962.7222222222217,-650.7222222222214,3207.40972222222,-1450.4097222222204,2084.715277777772,66.61805555555551,2087.05890078169,949.6565400243868,1
PF159,Ippsium 40 MG gélule boite de 14,A0,2023-01-01,1,2023,2585.0,2685.0,4270.0,1,1,0,1,0,0,0,0,0,0,0.213297022,7043.776581030001,2585.0,7108.312157721796,2685.0,2685.0,7481.279541905257,7479.654983570646,7043.776581030001,2876.072092191,2585.0,2685.0,4270.0,7043.776581030001,0.49999999999999994,0.8660254037844387,3343.537325707629,179.5876706589849,4280.125000000005,-1595.1250000000093,3215.4220021394544,1054.5779978605467,3021.5168338461244,1581.3694937432401,0
PF160,Ippsium 40 MG gélule boite de 28,A0,2023-01-01,1,2023,2679.0,7293.0,3730.0,1,1,0,1,0,0,0,0,0,0,0.001548314,6625.19272094,2679.0,7108.312157721796,7293.0,7293.0,7481.279541905257,7479.654983570646,6625.19272094,2876.072092191,2679.0,7293.0,3730.0,6625.19272094,0.49999999999999994,0.8660254037844387,3478.661060477764,100.39883536221026,6716.635157619987,576.3648423800123,2937.9355158732346,792.0644841267643,3427.5949451026586,3197.597775837338,0
PF161,Ecorex LP 150MG ovule boite de 1,C,2023-01-01,1,2023,3849.0,5903.0,6498.0,1,1,0,1,0,0,0,0,0,0,0.221859671,10301.809415868,3849.0,7108.312157721796,5903.0,5903.0,7481.279541905257,7479.654983570646,10301.809415868,2876.072092191,3849.0,5903.0,6498.0,10301.809415868,0.49999999999999994,0.8660254037844387,6704.789945415837,-2855.7861065318784,10255.486111111106,-4352.486111111109,7009.937499999993,-511.93749999999557,7077.602431097679,3224.20698477032,1
PF162,Itragyn 100 gélule boite de 4,C,2023-01-01,1,2023,835.0,1702.0,1535.0,1,1,0,1,0,0,0,0,0,0,0.5247232,2405.294294345,835.0,7108.312157721796,1702.0,1702.0,7481.279541905257,7479.654983570646,2405.294294345,2876.072092191,835.0,1702.0,1535.0,2405.294294345,0.49999999999999994,0.8660254037844387,1038.9479058879028,-203.94789954588884,868.1836588251605,833.8163411748388,1310.1735875169572,115.33405252060871,1458.961826834714,-615.5295082689672,0
PF166,"Zenexor 37,5 MG gélule LP",NC,2023-01-01,1,2023,670.0,808.0,896.0,1,1,0,1,0,0,0,0,0,0,0.300621583882475,1129.50095552,670.0,7108.312157721796,808.0,808.0,7481.279541905257,7479.654983570646,1129.50095552,2876.072092191,670.0,808.0,896.0,1129.50095552,0.49999999999999994,0.8660254037844387,1043.9362139917691,-373.9362139917694,2065.543981481479,-1257.5439814814795,1046.3265575610897,-150.32655756108963,1117.5374296417624,11.96352587823686,0
PF167,Zenexor 75 MG gélule LP,A+,2023-01-01,1,2023,1309.0,2598.0,2000.0,1,1,0,1,0,0,0,0,0,0,0.368193092,2614.366022,1309.0,7108.312157721796,2598.0,2598.0,7481.279541905257,7479.654983570646,2614.366022,2876.072092191,1309.0,2598.0,2000.0,2614.366022,0.49999999999999994,0.8660254037844387,2822.2934027777687,69.33159722220554,3539.725694444413,-437.97569444449135,2875.4699074074133,-875.4699074074126,2853.2909380378455,-238.92491603784478,1
PF173,Fer Plus solution buvable stick boite de 32,NC,2023-01-01,1,2023,1632.0,2383.0,2921.0,1,1,0,1,0,0,0,0,0,0,0.042586428,4828.48374662,1632.0,7108.312157721796,2383.0,2383.0,7481.279541905257,7479.654983570646,4828.48374662,2876.072092191,1632.0,2383.0,2921.0,4828.48374662,0.49999999999999994,0.8660254037844387,2498.875809414294,-866.8758094142958,3072.425000000002,-689.4250000000028,3835.0558064065426,-1747.3587327897178,4233.060114343905,-648.6581397536515,0
PF177,Ippsium 20 MG gélule boite de 7,NC,2023-01-01,1,2023,2829.0,4599.0,4280.0,1,1,0,1,0,0,0,0,0,0,0.76063029,7523.66731888,2829.0,7108.312157721796,4599.0,4599.0,7481.279541905257,7479.654983570646,7523.66731888,2876.072092191,2829.0,4599.0,4280.0,7523.66731888,0.49999999999999994,0.8660254037844387,4877.100694432807,-2048.1006944264186,5699.169821904668,-1100.1698214829546,4037.9236120006553,1056.0763912838506,4474.663946104767,4922.8684668957685,1
PF182,Amustil crème tube de 70 G,A0,2023-01-01,1,2023,6010.0,9171.0,6440.0,1,1,0,1,0,0,0,0,0,0,0.001033907,6496.83578208,6010.0,7108.312157721796,9171.0,9171.0,7481.279541905257,7479.654983570646,6496.83578208,2876.072092191,6010.0,9171.0,6440.0,6496.83578208,0.49999999999999994,0.8660254037844387,8576.377261928252,738.9929875585661,12231.46006944443,-3060.460069444454,10828.145833333347,-4388.1458333333485,11450.842746220213,-4954.006964140177,1
PF186,Afusidic 250 MG comprimé pelliculé boite de 20,A0,2023-01-01,1,2023,3025.0,3975.0,7082.0,1,1,0,1,0,0,0,0,0,0,0.127750021,14366.498628768,3025.0,7108.312157721796,3975.0,3975.0,7481.279541905257,7479.654983570646,14366.498628768,2876.072092191,3025.0,3975.0,7082.0,14366.498628768,0.49999999999999994,0.8660254037844387,8861.352430464241,-5836.352430464241,8917.397916673846,-4942.397916673853,10157.938816069884,-2280.8793015115784,10612.960257879671,3753.53837088833,1
PF187,Gaba 300 MG gélule boite de 50,NC,2023-01-01,1,2023,578.0,680.0,896.0,1,1,0,1,0,0,0,0,0,0,0.143075463,1946.614401536,578.0,7108.312157721796,680.0,680.0,7481.279541905257,7479.654983570646,1946.614401536,2876.072092191,578.0,680.0,896.0,1946.614401536,0.49999999999999994,0.8660254037844387,984.4454365080804,-406.4454365080802,1146.5592976470878,-430.56910911132655,1128.5369601819561,24.85040961464011,1245.6393372841005,700.9750642518998,0
PF189,Diamezid 60MG comprimé boite de 30,A0,2023-01-01,1,2023,5034.0,6675.0,7059.0,1,1,0,1,0,0,0,0,0,0,0.361758799,9881.458157337,5034.0,7108.312157721796,6675.0,6675.0,7481.279541905257,7479.654983570646,9881.458157337,2876.072092191,5034.0,6675.0,7059.0,9881.458157337,0.49999999999999994,0.8660254037844387,7961.886574074068,-2927.88657407407,7883.067129629605,-1208.0671296296107,8209.187500000004,-1150.1875,8450.200173695404,1431.2579836415932,0
PF202,Psoriasone pommade tube 60G,B,2023-01-01,1,2023,563.0,860.0,573.0,1,1,0,1,0,0,0,0,0,0,0.515502215,838.718359218,563.0,7108.312157721796,860.0,860.0,7481.279541905257,7479.654983570646,838.718359218,2876.072092191,563.0,860.0,573.0,838.718359218,0.49999999999999994,0.8660254037844387,806.0023268622252,-42.032598350218734,1540.9265917440869,-538.8642424504765,721.2453703703711,-148.24537037037086,804.2777802929878,631.3842627531044,0
PF215,Aciryl 150 mg boite de 60,A+,2023-01-01,1,2023,265.0,766.0,1008.0,1,1,0,1,0,0,0,0,0,0,0.300621583882475,2167.0436652480003,265.0,7108.312157721796,766.0,766.0,7481.279541905257,7479.654983570646,2167.0436652480003,2876.072092191,265.0,766.0,1008.0,2167.0436652480003,0.49999999999999994,0.8660254037844387,829.9227404665501,-97.06857794229217,1354.437154135637,-588.4371541356375,1530.0007082191983,-522.0007082191985,1882.60290692284,284.4407583251606,1
PF216,Aciryl 75mg boite de 15,C,2023-01-01,1,2023,478.0,1019.0,764.0,1,1,0,1,0,0,0,0,0,0,0.300621583882475,1395.724505504,478.0,7108.312157721796,1019.0,1019.0,7481.279541905257,7479.654983570646,1395.724505504,2876.072092191,478.0,1019.0,764.0,1395.724505504,0.49999999999999994,0.8660254037844387,727.113760342486,-249.11376034248687,1524.7951388888905,-505.79513888889034,617.7708333333329,146.22916666666686,624.1145338545406,-378.51319519790684,0
PF218,Notos Easy Flow boite de 60,A0,2023-01-01,1,2023,2076.0,2031.0,3072.0,1,1,0,1,0,0,0,0,0,0,0.171138821,4193.622718464,2076.0,7108.312157721796,2031.0,2031.0,7481.279541905257,7479.654983570646,4193.622718464,2876.072092191,2076.0,2031.0,3072.0,4193.622718464,0.49999999999999994,0.8660254037844387,2222.896456830912,-146.89645683091223,2810.5086805555557,-779.5086805555568,3049.093250160001,22.90674983999821,2554.9860177386895,1638.636700725309,1
PF220,Zanidip 20 MG comprimé pelliculé,A0,2023-01-01,1,2023,4077.0,4818.0,6450.0,1,1,0,1,0,0,0,0,0,0,0.284157653,9136.200030450002,4077.0,7108.312157721796,4818.0,4818.0,7481.279541905257,7479.654983570646,9136.200030450002,2876.072092191,4077.0,4818.0,6450.0,9136.200030450002,0.49999999999999994,0.8660254037844387,6620.8489583333285,-2543.848958333328,7720.5833344579,-2902.583334445618,6986.700274285181,-536.7002742851839,6391.078527657276,2745.1215027927265,0
PF222,Pyrimag solution buvable sachet dose 10,NC,2023-01-01,1,2023,1848.0,2648.0,2598.0,1,1,0,1,0,0,0,0,0,0,0.307716483,3806.666667072,1848.0,7108.312157721796,2648.0,2648.0,7481.279541905257,7479.654983570646,3806.666667072,2876.072092191,1848.0,2648.0,2598.0,3806.666667072,0.49999999999999994,0.8660254037844387,1992.4745370370363,-144.4745370370367,3295.678240740739,-647.6782407407406,2250.064335783248,347.93566421675195,2142.318620265513,1664.348046806488,0
PF234,Ortoton 750 MG boite de 50,NC,2023-01-01,1,2023,3296.0,2601.0,3550.0,1,1,0,1,0,0,0,0,0,0,0.139358736,4627.8495374,3296.0,7108.312157721796,2601.0,2601.0,7481.279541905257,7479.654983570646,4627.8495374,2876.072092191,3296.0,2601.0,3550.0,4627.8495374,0.49999999999999994,0.8660254037844387,2835.581597222225,460.41840277777595,3020.1088820302975,-419.1088820302973,3593.250834899539,1036.57647026766,3250.4387386870335,1953.0518256198234,0
